,modo,tipo,bairro,rua,numero,metros_quadrados,quartos,vagas,banheiros,valor
81,aluguel,Casa,Ribeira, Avenida Porto dos Mastros, 77,90.0,3,0,2,1700
82,aluguel,Loja,Barra, Rua Cesar Zama,,30.0,0,0,1,1700
83,aluguel,Loja,Engenho Velho de Brotas, Avenida Vasco da Gama,,29.0,0,0,1,1700
84,aluguel,Loja,Baixa dos Sapateiros, Avenida José Joaquim Seabra, 348,40.0,0,0,1,1800
85,aluguel,Sala,Itaigara, Avenida Antônio Carlos Magalhães, 811,67.68,0,0,2,1800
86,aluguel,Sala,Garcia, Avenida Centenário,,70.0,0,0,0,1800
87,aluguel,Village,Praia do Flamengo, Rua Clóvis Bevilácqua,,95.02,3,2,1,1800
88,aluguel,Apartamento3,Pituba, Rua Jornalista Joaquim Ferraro Nascimento,,100.0,3,1,2,1836
89,aluguel,Apartamento2,Pituba, Rua Território do Rio Branco,,60.0,2,1,2,1900
90,aluguel,Apartamento3,Jardim Apipema, Rua Nita Costa,,110.0,3,1,3,1900
91,aluguel,Sala,Federação,,,27.65,0,729,1,1900
92,aluguel,Sala,Amaralina, Travessa Doutor Artur Napoleão Carneiro Rego,,32.1,0,0,9,1900
93,aluguel,Apartamento3,Canela, Rua Marechal Floriano,,180.0,3,1,3,1944
94,aluguel,Flat,Barra, Avenida Princesa Isabel,,33.0,1,1,1,1950
95,aluguel,Sala,Paralela, Avenida Luís Viana,,54.66,0,1,1,1970
96,aluguel,Apartamento3,Ondina, Avenida Oceânica, 1479,100.0,3,1,3,2000
97,aluguel,Casa,Bonfim, Travessa Álvares de Azevedo, 9,240.0,2,1,2,2000
98,aluguel,Pontocomercial,Liberdade, Rua General Savaget,,290.0,0,0,0,2000
99,aluguel,Sala,Caminho das Árvores, Alameda Salvador, 1057,35.05,0,1,1,2000
100,aluguel,Sala,Candeal, Rua Leonor Calmon, 256,34.9,0,1,1,2000
101,aluguel,Sala,Pituba,,,9.0,0,0,2,2000
102,aluguel,Salão,Mussurunga I, Rua Doutor Arthur Couto,,70.0,0,0,1,2000
103,aluguel,Sala,Pituba, Rua Rio Grande do Sul, 332,28.32,0,0,0,0
104,aluguel,Apartamento,Massaranduba, Rua Lopes Trovão,,25.0,1,0,1,500
105,aluguel,Sala,Comércio, Avenida Estados Unidos,,33.0,0,0,1,500
106,aluguel,Apartamento,São Marcos, Rua Dom Bosco, 3,54.0,1,1,1,600
107,aluguel,Casa,Macaúbas, Rua Antero de Britto,,42.0,2,0,1,660
108,aluguel,Apartamento,Nazaré,,,40.0,1,0,1,680
109,aluguel,Apartamento,Nazaré, Rua Desembargador Adolfo Ribeiro Santos Souza, 67,40.0,1,0,1,780
110,aluguel,Apartamento2,Ribeira, Avenida Porto dos Tanheiros, 98,60.0,2,0,1,800
111,aluguel,Sala,Dois de Julho, Avenida Sete de Setembro, 62,47.0,0,0,1,800
112,aluguel,Apartamento2,Graça, Rua Manoel Barreto,,83.0,2,1,3,2125
113,aluguel,Apartamento2,Imbuí, Rua João José Rescala, 210,75.0,2,1,2,2400
114,aluguel,Sala,Centro, Praça da Sé,,137.0,0,0,2,2400
115,aluguel,Sala,Caminho das Árvores, Rua Coronel Almerindo Rehem,,54.78,0,2,2,2400
116,aluguel,Apartamento2,Rio Vermelho, Avenida Cardeal da Silva, 2070,99.0,2,2,3,2475
117,aluguel,Apartamento,Rio Vermelho, Rua Barro Vermelho,,95.0,1,2,2,2500
118,aluguel,Conjuntodesalas,Mares, Avenida Fernandes da Cunha, 22,115.0,0,3,1,2500
119,aluguel,Apartamento3,Graça, Rua Santa Rita de Cássia,,126.0,3,1,1,2592
120,aluguel,Apartamento3,Vitória, Rua Aloísio de Carvalho, 147,132.0,3,2,2,2804
121,aluguel,Apartamento2,Ondina, Avenida Oceânica,,83.2,2,2,2,2900
122,aluguel,CasaComercial,Calçada, Rua Nilo Peçanha, 136,165.0,4,1,2,3000
123,aluguel,Loja,Baixa dos Sapateiros, Baixa dos Sapateiros, 304,192.0,0,0,2,3000
124,aluguel,Casa,Boca do Rio, Rua Tenente Gustavo dos Santos, 38,160.0,4,1,3,3500
125,aluguel,Loja,Caminho de Areia, Avenida Caminho de Areia,,150.0,0,2,3,3500
126,aluguel,Loja,Comércio, Rua Portugal, 25,30.0,0,0,1,3500
127,aluguel,Prédio,Santo Antônio, Rua do Passo, 6,200.0,0,0,2,3600
128,aluguel,Loja,Comércio, Rua Portugal, 6,56.0,0,0,1,4000
129,aluguel,Apartamento3,Vitória, Avenida Sete de Setembro,,84.0,3,1,3,4400
130,aluguel,Conjuntodesalas,Campo Grande, Largo do Campo Grande, 14,130.0,0,0,2,4500
131,aluguel,CasaComercial,Roma, Rua Francisco Souza, 54,500.0,3,6,4,5000
132,aluguel,Loja,Roma, Avenida Fernandes da Cunha, 124,230.0,0,3,3,5000
133,aluguel,CasaComercial,Bonfim, Rua Henrique Dias, 295,500.0,4,4,3,5500
134,aluguel,CasaComercial,Bonfim, Rua Octávio Barreto, 4,350.0,5,8,4,6000
135,aluguel,Loja,Plataforma, Avenida Afrânio Peixoto,,370.0,0,0,0,6500
136,aluguel,CasaComercial,Costa Azul, Rua Arthur de Azevedo Machado,,384.0,0,8,4,8000
137,aluguel,Prédio,Acupe de Brotas, Rua Professor Rômulo Almeida, 22,300.0,0,11,2,8000
138,aluguel,Hotel,São Marcos, Rua Vila Vasconcelos, 81,550.0,24,0,24,8500
139,aluguel,Loja,Roma, Praça Irmã Dulce, 1,180.0,0,2,1,9000
140,aluguel,Terreno,Ribeira, Rua Léllis Piedade,,250.0,0,0,0,4000
141,aluguel,Conjuntodesalas,Comércio, Rua Miguel Calmon,,250.0,0,0,4,3000
142,aluguel,Terreno,Rio Vermelho, Rua Marquês de Monte Santo,,500.0,0,0,0,14540
143,aluguel,Sala,Pituba, Rua Ramalho Ortigão, 30,18.0,0,0,1,500
144,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,28.27,0,1,1,550
145,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,28.27,0,1,1,550
146,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,28.27,0,1,1,550
147,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,28.27,0,1,1,550
148,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,28.27,0,1,1,550
149,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,27.33,0,1,0,600
150,aluguel,Apartamento,Dois de Julho, Largo Dois de Julho,,67.0,1,0,1,648
151,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,37.12,0,1,1,650
152,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,37.65,0,1,1,650
153,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,37.12,0,1,1,650
154,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,37.12,0,1,1,650
155,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,37.65,0,1,1,650
156,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,37.12,0,1,1,650
157,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,28.0,0,1,1,650
158,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,37.12,0,1,1,650
159,aluguel,Sala,Pituba, Avenida Antônio Carlos Magalhães,,31.57,0,1,1,650
160,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,37.0,0,1,1,700
161,aluguel,Sala,Caminho das Árvores, Avenida Tancredo Neves,,24.71,0,1,0,700
162,aluguel,Apartamento2,Engenho Velho da Federação, Rua Padre Raimundo Machado,,49.0,2,0,1,702
163,aluguel,Loja,Pituba, Avenida Paulo Vi,,16.0,0,0,0,750
164,aluguel,Apartamento2,Nova Brasília, Travessa Bosque do Aeroporto,,50.0,2,0,1,756
165,aluguel,Apartamento2,Sussuarana, Avenida Ulysses Guimarães,,45.0,2,1,1,780
166,aluguel,Sala,Caminho das Árvores, Rua Frederico Simões,,27.8,0,1,1,800
167,aluguel,Sala,Comércio, Rua Torquato Bahia,,44.0,0,0,1,800
168,aluguel,Apartamento3,Costa Azul, Rua Monsenhor Gaspar Sadoc, 467,97.19,3,1,3,1000
169,aluguel,Sala,São Cristóvão, Avenida Luís Viana,,35.0,0,1,1,1000
170,aluguel,Sala,Caminho das Árvores, Avenida Tancredo Neves,,33.0,0,1,1,1000
171,aluguel,Sala,Pituba, Avenida Antônio Carlos Magalhães,,26.0,0,1,1,1000
172,aluguel,Sala,Pituba, Rua Maranhão,,37.0,0,1,0,1000
173,aluguel,Sala,Itaigara, Avenida Antônio Carlos Magalhães, 585,53.77,0,1,1,1000
174,aluguel,Apartamento,Pituba, Rua Rio de Janeiro, 176,46.07,1,1,2,1080
175,aluguel,Apartamento2,Pituaçu, Rua Barros Pimentel, 317,47.0,2,1,1,1080
176,aluguel,Apartamento3,Rio Vermelho, Rua Alagoinhas,,95.0,3,1,3,1188
177,aluguel,Casa,Stella Maris, Alameda Praia de Guaratuba,,200.0,3,1,2,2125
178,aluguel,Apartamento4,Graça, Rua Engenheiro Celso Torres,,205.0,4,1,4,2200
179,aluguel,Apartamento3,Rio Vermelho, Rua Rodrigo Argolo,,108.0,3,1,3,2337
180,aluguel,Loja,Barra, Travessa Marques de Leão,,48.62,0,0,2,2400
181,aluguel,Loja,Itapuã, Avenida Octávio Mangabeira,,65.0,0,0,0,2500
182,aluguel,Apartamento3,Pituba, Avenida Paulo Vi,,101.6,3,2,3,2600
183,aluguel,Apartamento,Barra, Rua Afonso Celso,,56.0,1,1,1,2975
184,aluguel,Apartamento3,Graça, Avenida Princesa Isabel,,155.0,3,1,3,3150
185,aluguel,Apartamento3,Costa Azul, Rua Doutor Augusto Lopes Pontes,,90.0,3,2,2,3150
186,aluguel,Apartamento4,Graça, Avenida Euclydes da Cunha,,223.0,4,2,2,3150
187,aluguel,CasaComercial,Pelourinho, Largo do Pelourinho,,100.0,4,0,2,3200
188,aluguel,Apartamento3,Itaigara, Rua Edith Mendes da Gama e Abreu,,132.0,3,2,2,3500
189,aluguel,Sala,Paripe, Rua Doutor Eduardo Dotto, 2,180.0,0,0,1,3500
190,aluguel,Conjuntodesalas,Chame-chame, Avenida Centenário,,100.0,0,3,3,4000
191,aluguel,Conjuntodesalas,Pituba, Rua Mato Grosso, 164,200.0,0,0,4,4300
192,aluguel,Apartamento4,Chame-chame, Rua Desembargador Baldoíno Andrade,,146.0,4,3,4,5170
193,aluguel,Apartamento,Dois de Julho, Ladeira do Gabriel,,67.43,1,1,1,5500
194,aluguel,Pontocomercial,Rio Vermelho, Rua Lucaia, 148,150.0,0,0,2,5500
195,aluguel,Loja,Pernambués, Rua do Hipódromo,,210.0,0,0,0,6000
196,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,28.27,0,1,1,550
197,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,28.27,0,1,1,550
198,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,37.12,0,1,1,650
199,aluguel,Sala,Parque Bela Vista, Rua Metódio Coelho,,55.08,0,0,1,700
200,aluguel,Sala,Pituba, Avenida Antônio Carlos Magalhães,,26.51,0,1,0,900
201,aluguel,Pontocomercial,Matatu, Rua do Sangradouro,,1050.5,0,0,0,19000
202,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,28.27,0,1,1,550
203,aluguel,Sala,Parque Bela Vista, Avenida Antônio Carlos Magalhães, 3129,39.86,0,1,1,600
204,aluguel,Sala,Parque Bela Vista, Avenida Antônio Carlos Magalhães,,32.24,0,0,1,600
205,aluguel,Sala,Nazaré, Rua do Cabral,,36.0,0,0,3,690
206,aluguel,Apartamento,Jardim Apipema, Rua Desembargador Ezequiel Pondé, 152,40.0,1,0,1,800
207,aluguel,Loja,Graça, Rua da Paz,,16.0,0,0,0,800
208,aluguel,Sala,Paripe, Rua Doutor Eduardo Dotto, 2,29.0,0,0,1,1000
209,aluguel,Apartamento,Pituba, Avenida Manoel Dias da Silva,,50.0,1,1,2,1100
210,aluguel,Sala,Barra, Rua Marquês de Caravelas,,100.0,0,1,0,2800
211,aluguel,Galpão,Baixa dos Sapateiros, Avenida José Joaquim Seabra,,512.0,0,0,0,8000
212,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,28.27,0,1,1,650
213,aluguel,Sala,Barroquinha, Avenida José Joaquim Seabra,,40.0,0,0,0,1000
214,aluguel,Apartamento3,Barra, Rua Guadalajara,,120.0,3,1,2,2500
215,aluguel,Casa,Vila Laura, Rua Mário Rego dos Santos,,243.85,3,4,2,4500
216,aluguel,Sala,São Cristóvão, Avenida Luís Viana,,34.0,0,1,1,1100
217,aluguel,Sala,Amaralina, Rua das Ubaranas,,59.0,0,1,1,490
218,aluguel,Cobertura,Canela, Rua Marechal Floriano,,104.0,2,4,3,3675
219,aluguel,Apartamento,Uruguai, Rua Luiz Régis Pacheco, 167,35.0,1,0,1,550
220,aluguel,Apartamento,Uruguai, Rua Luiz Régis Pacheco,,35.0,1,0,1,550
221,aluguel,Apartamento,Uruguai, Rua Luiz Régis Pacheco,,35.0,1,0,1,550
222,aluguel,Apartamento,Ribeira, Avenida Porto dos Mastros,,25.0,1,0,1,650
223,aluguel,Apartamento,Iapi, Rua Conde de Porto Alegre, 186,40.0,1,0,1,650
224,aluguel,Apartamento2,Mares, Avenida Fernandes da Cunha, 41,95.0,2,0,2,1100
225,aluguel,CasaComercial,Liberdade, Rua São Cristóvão, 59,100.0,0,0,2,2100
226,aluguel,Conjuntodesalas,Mares, Avenida Fernandes da Cunha,,115.0,0,3,1,2500
227,aluguel,Loja,Roma, Avenida Caminho de Areia, 1,65.0,0,0,1,2500
228,aluguel,Loja,Caminho de Areia, Avenida Caminho de Areia, 135,85.0,0,0,2,3800
229,aluguel,Loja,Ribeira, Avenida Beira Mar, 229,130.0,0,0,3,4000
230,aluguel,Sobre-loja,Roma, Praça Irmã Dulce, 2,180.0,0,0,1,4000
231,aluguel,Galpão,Ribeira, Avenida Porto dos Mastros, 26,350.0,0,0,4,5000
232,aluguel,Loja,Tancredo Neves, Rua Direta de Tancredo Neves, 1,500.0,0,0,5,5000
233,aluguel,Loja,Ribeira, Avenida Beira Mar, 473,500.0,0,0,5,8500
234,aluguel,Loja,Caminho de Areia, Avenida Caminho de Areia, 233,220.0,0,2,2,8500
235,aluguel,Loja,Liberdade, Estrada da Liberdade, 366,250.0,0,0,1,8500
236,aluguel,Loja,Caminho de Areia, Avenida Caminho de Areia, 153,380.0,0,3,3,19000
237,aluguel,Loja,Pituba, Alameda Pádua,,13.0,0,0,0,500
238,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,28.27,0,1,1,600
239,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,27.0,0,1,1,700
240,aluguel,Sala,Parque Bela Vista, Rua Senador Theotônio Vilela,,20.0,0,1,1,750
241,aluguel,Sala,Itaigara, Avenida Antônio Carlos Magalhães, 480,28.0,0,0,1,800
242,aluguel,Apartamento,Dois de Julho, Rua da Faísca, 96,40.0,1,0,1,850
243,aluguel,Sala,Itaigara, Avenida Antônio Carlos Magalhães, 480,24.0,0,0,1,850
244,aluguel,Sala,Paripe, Rua Doutor Eduardo Dotto, 2,29.0,0,0,1,1000
245,aluguel,Sala,Amaralina, Travessa Doutor Artur Napoleão Carneiro Rego,,17.5,0,0,9,1000
246,aluguel,Apartamento,Rio Vermelho, Rua Archibaldo Baleeiro, 172,35.0,1,1,1,1100
247,aluguel,Apartamento2,Acupe de Brotas, Rua Urbino de Aguiar, 401,66.19,2,1,1,1100
248,aluguel,Sala,Pituba, Rua das Hortênsias,,22.0,0,1,1,1100
249,aluguel,Sobre-loja,Comércio, Rua Lauro Muller,,85.0,0,0,1,1188
250,aluguel,Apartamento2,Patamares, Rua Ibipitanga,,70.0,2,1,2,2125
251,aluguel,Sala,Graça, Rua Humberto de Campos,,80.0,0,1,0,2231
252,aluguel,Apartamento3,Ondina, Rua José Valadares,,107.0,3,1,3,3360
253,aluguel,Apartamento,Barra, Rua Afonso Celso,,65.0,1,1,1,3394
254,aluguel,Sala,Itaigara, Avenida Antônio Carlos Magalhães,,70.0,0,0,0,4000
255,aluguel,Conjuntodesalas,Chame-chame, Avenida Centenário, 2411,180.0,0,3,2,4500
256,aluguel,Apartamento3,Patamares, Rua Le Parc, 235,142.69,3,3,2,4800
257,aluguel,CasaComercial,Barra, Rua Afonso Celso,,160.0,4,4,4,6300
258,aluguel,Loja,Pituba, Avenida Manoel Dias da Silva, 1010,83.0,0,1,2,6500
259,aluguel,Pontocomercial,Caminho das Árvores, Alameda das Algarobas, 646,185.0,0,0,3,6500
260,aluguel,Loja,Ondina, Avenida Oceânica,,47.28,0,0,0,7000
261,aluguel,Salão,Itaigara, Avenida Antônio Carlos Magalhães, 1034,218.0,0,3,3,9374
262,aluguel,Galpão,Valéria, Rodovia Br-324,,468.0,0,15,0,9900
263,aluguel,Casa,Itaigara, Rua João da Silva Campos, 491,400.0,4,2,5,10000
264,aluguel,CasaComercial,Acupe de Brotas, Avenida General Graça Lessa,,350.0,0,9,4,10000
265,aluguel,Salão,Itaigara, Avenida Antônio Carlos Magalhães, 1034,240.0,0,3,3,10320
266,aluguel,CasaComercial,Barra, Rua Raul Drumond,,250.0,3,0,3,11000
267,aluguel,CasaComercial,Graça, Rua Manoel Barreto,,248.0,5,2,3,11000
268,aluguel,Pontocomercial,Rio Vermelho, Rua da Paciência,,525.0,0,0,0,13000
269,aluguel,CasaComercial,Praia do Flamengo, Rua Thales de Azevedo, 584,545.0,0,3,0,17000
270,aluguel,Pontocomercial,Pituaçu, Rua Marquês de Queluz, 22,3000.0,0,0,1,25000
271,aluguel,CasaComercial,Pituba, Avenida Paulo Vi,,405.0,0,12,0,26000
272,aluguel,CasaComercial,Graça, Rua Humberto de Campos,,520.0,7,0,4,28000
273,aluguel,Prédio,Politeama, Rua Politeama de Cima,,510.0,0,0,5,30000
274,aluguel,Sala,Pituba, Avenida Antônio Carlos Magalhães,,671.0,0,0,0,33550
275,aluguel,Loja,Itaigara, Avenida Antônio Carlos Magalhães, 1034,426.0,0,6,0,45000
276,aluguel,Prédio,Pituba, Rua Rubem Berta,,3000.0,0,0,18,45000
277,aluguel,Prédio,Pituba, Avenida Paulo Vi,,2550.0,0,47,0,115000
278,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,37.65,0,1,1,650
279,aluguel,Apartamento2,Barreiras, Estrada das Barreiras,,45.0,2,1,1,880
280,aluguel,Casa,Engenho Velho de Brotas, Rua Almirante Alves Câmara, 233,79.0,2,0,2,1000
281,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,28.27,0,1,1,550
282,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,28.27,0,1,1,550
283,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,28.0,0,1,1,550
284,aluguel,Apartamento,Dois de Julho, Largo Dois de Julho,,41.0,1,0,1,648
285,aluguel,Apartamento,Boca do Rio, Avenida Jorge Amado,,35.0,1,0,1,650
286,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,37.65,0,1,1,650
287,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,37.12,0,1,1,650
288,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,37.0,0,1,1,650
289,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,37.12,0,1,1,650
290,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,37.65,0,1,1,650
291,aluguel,Sala,Nazaré, Avenida Joana Angélica,,28.0,0,0,1,700
292,aluguel,Sala,Parque Bela Vista, Rua Metódio Coelho,,56.0,0,1,1,900
293,aluguel,Sala,Stiep, Rua Edístio Pondé,,37.0,0,1,0,900
294,aluguel,Sala,Pituba, Rua Altino Serbeto de Barros,,32.0,0,1,0,1000
295,aluguel,Apartamento3,Pituba, Rua Mato Grosso, 251,100.0,3,1,3,2200
